Year,Constituency Name,Constituency Type,Candidates,Party,Vote Count,Vote Percentage
2011,Radin Mas,SMC,Yip Yew Weng,NSP,9123,0.329
2011,Sembawang,GRC,Hawazi Daipi | Khaw Boon Wan| Ellen Lee Geck Hoon | Ong Teng Koon| Vikram Nair,PAP,84252,0.639
2011,Sembawang,GRC,James Gomez | Luo Jie Jarrod | Mohd Isa | Sadasivam V | John Tan Liang Joo,SDP,47605,0.361
2011,Sengkang West,SMC,Koh Choong Yong,WP,10591,0.4189
2011,Sengkang West,SMC,Lam Pin Min,PAP,14689,0.5811
2011,Tampines,GRC,Baey Yam Keng | Heng Swee Keat | Mah Bow Tan | Masagos Zulkifli Bmm | Irene Ng Phek Hoong,PAP,72728,0.5722
2011,Tampines,GRC,Fong Chin Leong | Goh Keow Wah| Goh Meng Seng | Raymond Lim Peng Ann | Syafarin Bin Sarif,NSP,54381,0.4278
2011,Tanjong Pagar,GRC,Chan Chun Sing | Chia Shi-Lu | Indranee Thurai Rajah | Lee Kuan Yew | Lily Tirtasana Neo,PAP,na,na
2011,West Coast,GRC,Arthur Fong | Foo Mee Har | Lim Hng Kiang | S Iswaran | Lawrence Wong,PAP,72563,0.6657
2011,West Coast,GRC,Ho Soak Harn | Kenneth Andrew Jeyaretnam | Kumar S/O Appavoo | Low Chiak Huan | Zhu Lai Cheng,RP,36443,0.3343
2011,Whampoa,SMC,Heng Chee How,PAP,13028,0.661
2011,Whampoa,SMC,Ken Sun,NSP,6683,0.339
2011,Yuhua,SMC,Grace Fu Hai Yien,PAP,14093,0.6686
2011,Yuhua,SMC,Teo Soh Lung,SDP,6986,0.3314
2015,Aljunied,GRC,Chen Show Mao | Sylvia Lim | Low Thia Khiang | Md Faisal Bin Abdul Manap | Pritam Singh,WP,70050,0.5096
2015,Aljunied,GRC,Chau Eng Leong | K Muralidharan Pillai | Lye Thiam Fatt Joseph Victor | Shamsul Kamar Bin Mohamed Razali | Yeo Guat Kwang,PAP,67424,0.4904
2015,Ang Mo Kio,GRC,Ang Hin Kee | David Darryl Wilson | Gan Thiam Poh | Intan Azura Binte Mokhtar | Koh Poh Koon| Lee Hsien Loong,PAP,135316,0.7864
2015,Ang Mo Kio,GRC,Goh Keow Wah | Jesse Loo Hoe Bock | Roy Ngerng Yi Ling | Osman Sulaiman | M Ravi | Siva Chandran,RP,36758,0.2136
2015,Bishan-Toa Payoh,GRC,Chee Hong Tat | Chong Kee Hiong | Ng Eng Hen | Saktiandi Bin Supaat | Josephine Teo,PAP,86701,0.7359
2015,Bishan-Toa Payoh,GRC,"Law Kim Hwee | Long YaoGuang, Don Bryan | Mohamad Abdillah Bin Zamzuri | Mohamad Hamim Bin Aliyas | Pwee Yek Kwan Benjamin",SPP,31108,0.2641
2015,Bukit Batok,SMC,David Ong Kim Huat,PAP,18234,0.7302
2015,Bukit Batok,SMC,Sadasivam V,SDP,6588,0.2638
2015,Bukit Batok,SMC,Samir Salim Neji,Independent,150,0.006
2015,Bukit Panjang,SMC,Khung Wai Yeen,SDP,10152,0.3162
2015,Bukit Panjang,SMC,Teo Ho Pin,PAP,21954,0.6838
2015,Chua Chu Kang,GRC,Gan Kim Yong | Low Yen Ling | Yee Chia Hsing | Zaqy Mohamad,PAP,84850,0.7691
2015,Chua Chu Kang,GRC,Goh Meng Seng | Lee Tze Shih | Low Wai Choo | Syafarin Bin Sarif,PPP,25475,0.2309
2015,East Coast,GRC,Gerald Giam Yean Song | Daniel Goh Pei Siong | Mohamed Fairoz Bin Shariff | Leon Perera,WP,35622,0.3927
2015,East Coast,GRC,Lee Yi Shyan | Lim Swee Say | Mohd Maliki Bin Osman| Tan Soon Neo Jessica,PAP,55093,0.6073
2015,Fengshan,SMC,Cheryl Chan Wei Ling,PAP,12417,0.575
2015,Fengshan,SMC,Dennis Tan Lip Fong,WP,9176,0.425
2015,Holland-Bukit Timah,GRC,Chee Soon Juan| Chong Wai Fung | Md Sidek Bin Mallek| Paul Anatharajah Tambyah,SDP,31494,0.334
2015,Holland-Bukit Timah,GRC,Christopher De Souza | Liang Eng Hwa | Sim Ann | Vivian Balakrishnan,PAP,62786,0.666
2015,Hong Kah North,SMC,Amy Khor Lean Suan,PAP,19628,0.7476
2015,Hong Kah North,SMC,Ravi Philemon,SPP,6627,0.2524
2015,Hougang,SMC,Lee Hong Chuang,PAP,9565,0.4234
2015,Hougang,SMC,Png Eng Huat,WP,13027,0.5766
2015,Jalan Besar,GRC,Chan Sio Phing Frieda (Zeng Xiao Ping) | L Somasundaram | Redzwan Hafidz Abdul Razak | Sim Tian Hock (Shen TianFu),WP,30302,0.3225
2015,Jalan Besar,GRC,Heng Chee How | Lily Neo | Denise Phua Lay Peng | Yaacob Ibrahim,PAP,63644,0.6775
2015,Jurong,GRC,Ang Wei Neng | Desmond Lee | Rahayu Binte Mahzam | Tharman Shanmugaratnam | Tan Wu Meng,PAP,95228,0.7929
2015,Jurong,GRC,Foo Ming Jin David | Sukdeu Singh | Tan Peng Aann| Wong Chee Wai | Wong Soon Hong,SGF,24869,0.2071
2015,MacPherson,SMC,Chen JiaXi,WP,8833,0.3359
2015,MacPherson,SMC,Cheo Chai Chen,NSP,215,0.0082
2015,MacPherson,SMC,Tin Pei Ling,PAP,17251,0.656
2015,Marine Parade,GRC,Fatimah Binte Abdul Lateef | Goh Chok Tong | Seah Kian Peng | Tan Chuan-Jin | Tong Chun Fai Edwin Charles,PAP,85138,0.6407
2015,Marine Parade,GRC,Firuz Khan | He Tingru | Ng Foo Eng | Terence Tan | Yee Jenn Jong,WP,47753,0.3593
2015,Marsiling-Yew Tee,GRC,Damanhuri Bin Abas | Lim Boon Heng | Tan Liang Joo John | Wong Souk Yee,SDP,31185,0.3127
2015,Marsiling-Yew Tee,GRC,Halimah Yacob | Ong Teng Koon | Lawrence Wong | Alex Yam Ziming,PAP,68546,0.6873
2015,Mountbatten,SMC,Jeannette Chong - Aruldoss,SPP,6004,0.2814
2015,Mountbatten,SMC,Lim Biow Chuan,PAP,15331,0.7186
2015,Nee Soon,GRC,Foo Seck Guan | Gurmit Singh S/O Sadhu Singh | Koh Tiong Yee | Cheryl Loh Xiu Wen | Ron Tan Jun Yen,WP,40841,0.3317
